label,nodeid,r,x,y
"prophet, matter, peopl, prayer, qatada, abdullah_bin_abi, nois, father, calm, pray, hast",118,690,16,690
"prophet, calm, prayer, huraira, iqama, solemn, pray, whatev, proceed, hast, abu",119,809,15,808
"front, apostl, prayer, till, iqama, qatada, abdullah_bin_abi, allah, father",120,1056,21,1056
"front, apostl, prayer, till, iqama, qatada, abdullah_bin_abi, allah, father",121,1056,21,1056
"prophet, apostl, prayer, musalla, huraira, head, janaba, mosqu, place, water, row, takbir, iqama, bath, allah, abu",122,1114,19,1113
"ward, apostl, prayer, huraira, water, head, place, bath, row, iqama, junub, abu, allah, remain, peopl",123,965,19,965
"prophet, day, umar, apostl, prayer, buthan, meal, trench, person, sun, asr, time, umar_bin_al_khattab, jabir_bin_abdullah, al, al_khandaq, allah, maghrib, iftar",124,848,19,848
"ana, prophet, peopl, prayer, till, postur, mosqu, sit, man, iqama, voic, corner",125,757,17,757
"iqama, prophet, man, prayer, anas_bin_malik",126,1366,19,1366
"hous, apostl, fuel, huraira, adhan, firewood, rib, present, someon, meat, abu, bone, isha, hand, compulsori, prayer, piec, behind, men, him, anyon, whose, order, congreg, allah, soul",127,552,15,552
"time, apostl, prayer, abdullah_bin_umar, congreg, allah, person",128,1400,20,1400
"prophet, person, time, prayer, congreg, abu, said, al_khudri",129,1139,18,1139
"hous, time, apostl, huraira, forgiv, account, bestow, sin, step, bless, mosqu, ablut, abu, congreg, prayer, deed, merci, angel, reward, person, proce, degre, intent, allah, market",130,586,16,586
"day, time, apostl, huraira, dawn, fajr, book, abu, prayer, quran, reward, gather, recit, angel, holi, person, salama_bin_abdur, abdullah_bin_umar, rahman, congreg, night, allah",131,701,19,701
"hous, muhammad, mood, prayer, offer, thing, uthman, follow, um, ad_darda, allah, salim, abu",132,692,24,692
"prophet, farthest, imam, peopl, prayer, musa, reward, mosqu, abu",133,1089,17,1089
"prophet, further, apostl, huraira, caus, adhan, diseas, lot, fajr, zuhr, plagu, isha, peopl, martyr, die, prayer, way, reward, man, row, branch, abu, allah, action",134,817,19,817
"ana, humaid, apostl, dont, place, trace, step, peopl, hous, salima, toward, mujahid, prayer, reward, your, mosqu, foot, bani, statement, idea, footprint, allah, prophet",135,729,19,728
"prophet, muadh_dhin, hypocrit, time, prayer, awl, huraira, reward, hous, mosqu, call_mak, order, iqama, fajr, isha, abu",136,661,15,661
"prophet, becom, malik_bin_huwairith, time, prayer, iqama, adhan, person",137,831,14,830
"apostl, prayer, musalla, forgiv, huraira, anyon, place, pass, angel, bless, abu, allah, hadath",138,975,19,975
"prophet, day, huraira, youth, childhood, hand, shade, abu, ruler, worship, mosqu, person, man, allah",139,1093,19,1093
"ana, humaid, apostl, did, till, glitter, mid_night, prayer, ring, allah, isha, peopl",140,918,19,918
"prophet, paradis, prayer, huraira, hospit, afternoon, mosqu, place, go, morn, allah, abu",141,1177,19,1177
