cluster,global_distance,global_nimber_of_blocks,global_tfidf,local_distance,radious,word
1,4243,1,0.0011092481,0,4243.0,abdullah_bin_al_fadl
1,4243,1,0.0011092481,0,4243.0,tawaf_alifada
1,4241,3,0.0030436677,66,4241.513527032538,fa
1,4243,1,0.0011092481,0,4243.0,bait_al_midra
1,4238,6,0.0056286338,16,4238.030202818286,safar
1,4217,27,0.0202154714,22,4217.057386377378,mari
1,4237,7,0.0064390455,0,4237.0,seal
1,4242,2,0.0021077134,0,4242.0,dhimmi
1,4239,5,0.0057549869,20,4239.047180676337,yogurt
1,4241,3,0.0030436677,33,4241.128387587435,istikhara
1,4239,5,0.0047958224,80,4239.754827817288,blight
1,4243,1,0.0011092481,0,4243.0,freed_slav
1,4242,2,0.0021077134,0,4242.0,burda_bin_niyyar
1,4176,68,0.0875714713,25,4176.0748317050065,milk
1,4243,1,0.0011092481,0,4243.0,annubuwwa
1,4229,15,0.0189789424,33,4229.128751882591,supper
1,4233,11,0.0095091946,18,4233.038270556976,al_ala
1,4243,1,0.0011092481,0,4243.0,amr_bin_murra
1,3892,352,0.2064877825,26,3892.086843840975,companion
1,4236,8,0.0126528229,12,4236.016997133038,anta
1,4242,2,0.0021077134,0,4242.0,effort
1,4242,2,0.0021077134,0,4242.0,applic
1,4231,13,0.0143380278,7,4231.005790589278,search
1,4242,2,0.0021077134,0,4242.0,rabbu_s_samawati
1,4241,3,0.0030436677,66,4241.513527032538,limb
1,3958,286,0.1430213011,35,3958.154746848587,mosqu
1,4243,1,0.0011092481,0,4243.0,passerbi
1,4243,1,0.0011092481,0,4243.0,mustab_bin_umar
1,4243,1,0.0011092481,0,4243.0,tufail_bin_amr
1,4205,39,0.0272998081,33,4205.129486710249,hell_fir
1,4220,24,0.0183408774,37,4220.162200674282,thabit
1,4205,39,0.0300997884,23,4205.062900837513,troubl
1,4231,13,0.0143380278,23,4231.062514310088,one_third
1,4243,1,0.0011092481,0,4243.0,al_hamu
1,4242,2,0.0021077134,0,4242.0,snow
1,4243,1,0.0011092481,0,4243.0,azfar
1,4243,1,0.0011092481,0,4243.0,ali_bin_husain
1,4239,5,0.0047958224,20,4239.047180676337,so
1,4233,11,0.0172894448,36,4233.153080151957,batch
1,4243,1,0.0011092481,0,4243.0,baiyan
1,4240,4,0.0039362872,25,4240.073702189621,peni
1,4243,1,0.0011092481,0,4243.0,rahrmatu_l_lahi
1,4237,7,0.0064390455,28,4237.09251728116,talha_bin_ubaidullah
1,4219,25,0.0341480342,43,4219.219122065125,honey
1,4241,3,0.0030436677,33,4241.128387587435,abandon
1,4242,2,0.0021077134,50,4242.294662090318,neither
1,4243,1,0.0011092481,0,4243.0,migra
1,4241,3,0.0030436677,66,4241.513527032538,procrastin
1,4243,1,0.0011092481,0,4243.0,al_qanabi
1,4243,1,0.0011092481,0,4243.0,stealth
1,4239,5,0.0057549869,40,4239.1887195547215,robberi
1,4227,17,0.0153725358,11,4227.0143127271285,inform
1,4214,30,0.0220444927,36,4214.153770331595,pre_lslam
1,4242,2,0.0021077134,50,4242.294662090318,al_akbar
1,4243,1,0.0011092481,0,4243.0,or_ibn_amr
1,4237,7,0.0064390455,42,4237.208161041891,al_miqdad
1,4243,1,0.0011092481,0,4243.0,fatehal_bari
1,4241,3,0.0030436677,33,4241.128387587435,jour
1,4241,3,0.0030436677,0,4241.0,arrog
1,4242,2,0.0021077134,50,4242.294662090318,thaur
1,4243,1,0.0011092481,0,4243.0,abdullah_bin_mirda
1,4238,6,0.0056286338,33,4238.128478467825,point
1,4243,1,0.0011092481,0,4243.0,ca
1,4243,1,0.0011092481,0,4243.0,partridg
1,4243,1,0.0011092481,0,4243.0,dumb____thos
1,4240,4,0.0039362872,0,4240.0,hang
1,4242,2,0.0031615701,0,4242.0,version
1,4243,1,0.0011092481,0,4243.0,khalil__r_rahman
1,4242,2,0.0021077134,50,4242.294662090318,lion
1,4239,5,0.0047958224,20,4239.047180676337,shot
1,4240,4,0.0049203590,25,4240.073702189621,liber
1,4222,22,0.0170630714,40,4222.189479405205,rafi
1,4242,2,0.0021077134,0,4242.0,khawaisira
1,4242,2,0.0021077134,50,4242.294662090318,wooden
1,4237,7,0.0064390455,0,4237.0,worri
1,4243,1,0.0011092481,0,4243.0,aiyuha_n_nabiyu
1,4215,29,0.0295718363,17,4215.034282185615,servant
1,4227,17,0.0161816166,11,4227.0143127271285,cousin
1,4243,1,0.0011092481,0,4243.0,__mi
1,4228,16,0.0130702297,12,4228.017029293993,term
1,4243,1,0.0011092481,0,4243.0,al_juaid_bin_abdur
1,4243,1,0.0011092481,0,4243.0,mirbad
1,4240,4,0.0039362872,0,4240.0,realiti
1,4243,1,0.0022184962,0,4243.0,fellow_devil
1,4228,16,0.0138871191,12,4228.017029293993,carri
1,4154,90,0.0622964886,22,4154.058256693086,someon
1,4240,4,0.0039362872,0,4240.0,sad_bin_khaula
1,4243,1,0.0011092481,0,4243.0,burda_bin_abi
1,4239,5,0.0047958224,0,4239.0,shrub
1,4236,8,0.0072301845,12,4236.016997133038,dearer
1,4242,2,0.0021077134,50,4242.294662090318,all_hear
1,4243,1,0.0011092481,0,4243.0,abdullah_bin_ubdi
1,4243,1,0.0011092481,0,4243.0,what_ibn_abba
1,4243,1,0.0011092481,0,4243.0,muhammad_bin_suqa
1,4238,6,0.0056286338,0,4238.0,compens
1,4217,27,0.0292001254,33,4217.129118250946,option
1,4235,9,0.0160088320,22,4235.057142471634,stood
